City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
531,Great Bend,US,38.3645,-98.7648,50.61,55,37,5.01,scattered clouds
532,Qandala,SO,11.472,49.8728,87.6,37,0,3.6,clear sky
533,Conde,BR,-7.2597,-34.9075,76.46,100,75,3.44,broken clouds
534,Henties Bay,NA,-22.116,14.2845,58.87,90,40,5.86,scattered clouds
535,Lagoa,PT,39.05,-27.9833,58.6,84,48,21.14,scattered clouds
536,Norman Wells,CA,65.282,-126.8329,-3.96,50,20,0.0,few clouds
537,Stawell,AU,-37.05,142.7667,65.28,57,98,9.78,overcast clouds
538,Tura,IN,25.5198,90.2201,80.46,71,3,5.88,clear sky
539,Jalu,LY,29.0331,21.5482,69.82,22,81,9.35,broken clouds
540,Rabak,SD,13.1809,32.74,88.83,17,24,10.6,few clouds
541,Valparaiso,CL,-33.0393,-71.6273,56.48,78,20,2.3,few clouds
542,Maragogi,BR,-9.0122,-35.2225,77.14,84,22,4.9,few clouds
543,Vostok,RU,46.4856,135.8833,43.47,69,0,10.04,clear sky
544,Matara,LK,5.9485,80.5353,86.52,60,5,3.98,clear sky
545,Caldwell,US,43.6629,-116.6874,47.32,45,0,0.0,clear sky
546,Douglas,US,41.3,-96.167,48.38,59,0,5.75,clear sky
547,Gazli,UZ,40.1333,63.45,69.26,30,48,10.18,scattered clouds
548,Neyshabur,IR,36.2133,58.7958,65.37,16,26,3.31,scattered clouds
549,Dergachi,RU,51.2328,48.7659,53.51,73,39,20.11,scattered clouds
550,Inhambane,MZ,-23.865,35.3833,78.44,72,59,7.61,broken clouds
551,Poum,NC,-20.2333,164.0167,82.71,81,78,10.8,broken clouds
552,Yatou,CN,37.15,122.3833,56.66,49,1,8.12,clear sky
553,Labuan,MY,5.2767,115.2417,88.16,70,20,3.44,few clouds
554,Grenville,GD,12.1167,-61.6167,78.85,75,36,20.49,scattered clouds
555,Pointe Michel,DM,15.25,-61.3833,76.77,78,69,12.68,broken clouds
556,Asau,RO,46.4333,26.4,36.95,100,83,6.96,broken clouds
557,Alice Springs,AU,-23.7,133.8833,83.75,15,0,4.61,clear sky
558,Luanda,AO,-8.8368,13.2343,78.8,89,75,6.91,broken clouds
559,Fort Nelson,CA,58.8053,-122.7002,24.39,63,40,8.05,scattered clouds
560,Vieques,PR,18.425,-65.8329,75.09,81,33,16.37,scattered clouds
561,Chifeng,CN,42.2683,118.9636,62.28,16,44,17.49,scattered clouds
562,Javornik,CZ,50.3908,17.0027,28.35,94,100,5.64,overcast clouds
563,Oum Hadjer,TD,13.2954,19.6966,80.1,11,71,10.0,broken clouds
564,Los Llanos De Aridane,ES,28.6585,-17.9182,59.13,82,100,1.14,overcast clouds
565,Awjilah,LY,29.1081,21.2869,69.55,21,72,9.64,broken clouds
566,Bozhou,CN,33.8772,115.7703,66.72,28,0,4.65,clear sky
