City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
599,Cascais,PT,50.47,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
600,Faya,SA,64.51,clear sky,18.3851,42.4509,املاك خالد الشعشوع
601,Djougou,BJ,78.13,scattered clouds,9.7085,1.666,Hotel cathas
602,Taft,IR,69.75,clear sky,31.7471,54.2088,عمارت ساعتی تفت
603,Alta Floresta,BR,70.2,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
606,Vredendal,ZA,61.99,few clouds,-31.6683,18.5012,Tharrakamma Guest House
607,Cambe,BR,61.72,broken clouds,-23.2758,-51.2783,Motel Tróia
608,Half Moon Bay,US,64.17,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
609,Ranong,TH,80.96,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
611,Rengasdengklok,ID,89.73,few clouds,-6.1592,107.2981,Kost Citra Kirana Rengasdengklok
612,Bardiyah,LY,64.89,broken clouds,31.7561,25.0865,بورتو بردية
614,Kiama,AU,78.58,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
615,Lazaro Cardenas,MX,70.34,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
617,Tala,EG,64.56,overcast clouds,30.6803,30.9429,وي
619,Sur,OM,87.3,broken clouds,22.5667,59.5289,Sur Plaza Hotel
620,Moron,AR,65.97,clear sky,-34.6534,-58.6198,Hotel Morón
622,Santa Luzia,BR,65.57,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
624,Padang,ID,86.05,clear sky,-0.9492,100.3543,Mercure Padang
626,Ulaanbaatar,MN,50.13,broken clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
629,Whyalla,AU,71.01,clear sky,-33.0333,137.5833,Foreshore Motor Inn
631,Katobu,ID,84.49,broken clouds,-4.9408,122.5276,La Ode Husein
633,Nan,TH,83.57,few clouds,18.8333,100.6667,สะเนียน2
634,Totskoye,RU,52.81,overcast clouds,52.5248,52.7623,Gostinitsa
635,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
636,Cape Coast,GH,79.5,overcast clouds,5.1053,-1.2466,Samrit Hotel
639,Macau,MO,76.86,clear sky,22.2006,113.5461,Grand Emperor Hotel
641,Shimoda,JP,50.36,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
643,Berbera,SO,81.01,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
645,Joaquim Nabuco,BR,71.74,few clouds,-8.6244,-35.5333,Baia Beira Rio
646,Sri Aman,MY,91.4,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
647,Corinto,GR,56.89,clear sky,37.9407,22.9573,Ephira Hotel
648,Fare,PF,81.7,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
649,Kaihua,CN,61.56,clear sky,23.3687,104.28,Zhongyu Hotel
650,Princeton,US,74.01,broken clouds,25.5384,-80.4089,American Best Inn
651,Palestine,PS,63.93,overcast clouds,31.9216,35.2033,Grand Park Hotel
652,Aguada De Pasajeros,CU,74.68,moderate rain,22.385,-80.8508,El Bosque
653,Korem,ET,58.91,few clouds,12.5058,39.5228,Lakomeliza Hotel
654,Cabadiangan,PH,84.27,overcast clouds,9.7531,122.4739,Kipot
655,Cavalcante,BR,65.68,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
656,Ixtapa,MX,64.54,clear sky,20.7,-105.2,hotel la terminal
657,Anloga,GH,81.95,overcast clouds,5.7947,0.8973,Pin Drop Hotel
660,Koster,ZA,60.22,scattered clouds,-25.863,26.8976,Klub Kranskuil
665,Ayolas,PY,67.59,light rain,-27.4,-56.9,Hotel Ayolas
