City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Plouzane,FR,2022-04-02 04:11:06,48.3833,-4.6167,41.05,84,100,8.05
146,Maldonado,UY,2022-04-02 04:13:52,-34.6667,-54.9167,53.22,87,3,6.15
147,Liling,CN,2022-04-02 04:13:52,27.6667,113.5,59.67,67,100,1.97
148,Yellowknife,CA,2022-04-02 04:13:53,62.456,-114.3525,-16.02,100,99,3.58
149,Ixtapa,MX,2022-04-02 04:13:53,20.7,-105.2,70.23,80,56,2.06
150,Tuy Hoa,VN,2022-04-02 04:10:55,13.0833,109.3,78.64,84,94,15.97
151,Lodja,CD,2022-04-02 04:13:54,-3.4833,23.4333,67.55,98,100,0.67
152,Yantal,RU,2022-04-02 04:13:54,56.8471,105.2542,34.52,98,100,2.73
153,Baykit,RU,2022-04-02 04:13:55,61.67,96.37,21.69,82,100,2.19
154,Yuncheng,CN,2022-04-02 04:13:55,35.0231,110.9928,62.04,19,0,12.3
155,Makueni,KE,2022-04-02 04:13:56,-1.8041,37.6203,63.21,95,51,0.6
156,Dombarovskiy,RU,2022-04-02 04:13:56,50.7587,59.5386,37.06,82,98,11.07
157,Impfondo,CG,2022-04-02 04:13:56,1.6381,18.0667,69.62,98,100,4.99
158,Peleduy,RU,2022-04-02 04:12:15,59.6289,112.7406,25.59,71,99,12.37
159,Udachnyy,RU,2022-04-02 04:13:57,66.4167,112.4,17.46,78,90,6.22
160,Shinpokh,PK,2022-04-02 04:13:58,34.3292,71.1782,86.34,14,0,2.93
161,San Cristobal,VE,2022-04-02 04:13:58,7.7669,-72.225,69.98,78,55,1.25
162,Ca Mau,VN,2022-04-02 04:13:58,9.1769,105.15,88.54,59,100,9.91
163,Harlingen,US,2022-04-02 04:13:59,26.1906,-97.6961,73.89,91,95,9.6
164,Chumikan,RU,2022-04-02 04:13:59,54.7183,135.315,32.63,83,66,16.51
165,Pangnirtung,CA,2022-04-02 04:14:00,66.1451,-65.7125,22.17,85,100,2.13
